Restaurant Name,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
Gyms Kook,"Crescent Square Mall, Rohini",77.125077,28.718606400000002,"Continental, Italian",1000,No,Yes,3.3,140
Burger Joint,"Crescent Square Mall, Rohini",77.1248938,28.7183684,"Fast Food, Burger",300,No,Yes,3.5,164
Eleven to Eleven,"Cross River Mall, Karkardooma",77.3027142,28.657840000000004,"North Indian, Chinese",800,No,Yes,3.1,106
Le Chef,"Cross River Mall, Karkardooma",77.3023283,28.6571108,"North Indian, Chinese, South Indian, Fast Food",800,Yes,Yes,3.3,134
McDonald's,"Cross River Mall, Karkardooma",77.3022802,28.657631,"Fast Food, Burger",500,No,Yes,3.4,77
The Buffet Wagon,"Cross River Mall, Karkardooma",77.30228170000001,28.6576462,North Indian,950,Yes,Yes,3.3,102
Haldiram's,"Cross River Mall, Karkardooma",77.3018958,28.656711199999997,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,No,No,3.5,217
Connexions Bar - Crowne Plaza,"Crowne Plaza Hotel, Rohini",77.1104921,28.7208561,Finger Food,2500,Yes,No,3.5,59
Deli - Crowne Plaza,"Crowne Plaza Hotel, Rohini",77.1104047,28.7203475,"Bakery, Desserts, Fast Food",1000,Yes,No,3.7,60
Lobby Lounge - Crowne Plaza,"Crowne Plaza, Mayur Vihar Phase 1",77.2974845,28.5902478,Finger Food,2000,Yes,No,3.2,12
Infinity - Crowne Plaza,"Crowne Plaza, Mayur Vihar Phase 1",77.29757430000001,28.590346000000004,"Italian, North Indian, Continental",3000,Yes,No,3.5,115
Fiery Grills,"D Mall, Netaji Subhash Place",77.1527715,28.6927868,"North Indian, Chinese, Continental",1000,Yes,No,3.3,165
McDonald's,"D Mall, Netaji Subhash Place",77.1527796,28.692512899999997,"Fast Food, Burger",500,No,Yes,3.4,41
Cafe Desire,"D Mall, Netaji Subhash Place",77.15260570000001,28.692631899999995,"North Indian, Chinese, Finger Food",1000,Yes,Yes,3.5,116
Haldiram's,"D Mall, Netaji Subhash Place",77.1518867,28.691936,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",550,No,No,3.7,262
Kake Di Hatti,"D Mall, Netaji Subhash Place",77.15283459999999,28.692864500000002,North Indian,400,No,No,3.5,364
Akash Deep,Daryaganj,77.2403806,28.644239799999998,"North Indian, South Indian, Chinese, Fast Food",600,No,No,2.8,28
Al Saad Foods,Daryaganj,77.2321629,28.6433222,"North Indian, Fast Food",400,No,No,3.2,12
Cafe Coffee Day,Daryaganj,77.2402908,28.6445896,Cafe,450,No,No,2.8,22
Chandrika,Daryaganj,77.2373386,28.6409469,North Indian,400,No,No,2.9,6
Dawat-E-Chaman,Daryaganj,77.2402908,28.6464711,"North Indian, Mughlai",400,No,No,3.4,45
Kallu Nihari,Daryaganj,77.23732059999999,28.642125099999998,Mughlai,150,No,No,3.0,6
King Bikaneri,Daryaganj,77.2341388,28.6415395,"North Indian, Chinese, Fast Food, South Indian",400,No,No,2.9,6
Manchanda Bakery,Daryaganj,77.2442871,28.646179800000002,"Bakery, Fast Food",200,No,No,3.1,8
McDonald's,Daryaganj,77.2405333,28.6437229,"Fast Food, Burger",500,No,Yes,2.8,23
Mehta Restaurant,Daryaganj,77.24036159999999,28.644288699999997,"Street Food, Mithai",150,No,No,3.2,6
Shree Jee Rasoi,Daryaganj,77.24248890000001,28.62954592,"North Indian, Chinese",500,No,Yes,3.0,33
Taj Snacks,Daryaganj,77.2404704,28.6428148,South Indian,200,No,No,3.0,5
Zaika,Daryaganj,77.240526,28.6437016,"North Indian, Chinese, Mughlai",600,No,No,3.4,159
Bagli's Kitchen,Daryaganj,77.24076111,28.63814444,Parsi,500,No,No,3.7,85
Bhaja Govindam,Daryaganj,77.2360697,28.6411412,"North Indian, South Indian",700,Yes,No,3.8,189
Changezi Chicken,Daryaganj,77.2402908,28.643514500000002,"North Indian, Mughlai",500,No,Yes,3.7,519
Dilli Gate,Daryaganj,77.2404704,28.6428148,"North Indian, Chinese, Mughlai",500,No,No,3.5,26
Jahangeer Foods,Daryaganj,77.2404704,28.648280100000004,"North Indian, Mughlai",600,No,No,3.8,124
Moti Mahal,Daryaganj,77.240201,28.646193800000002,"North Indian, Chinese",1100,Yes,No,3.6,711
Nandlal Ka Dhaba,Daryaganj,77.24361359999999,28.6450853,"North Indian, Mughlai",500,No,No,3.6,109
Sugandh,Daryaganj,77.24361359999999,28.6451749,North Indian,400,No,No,3.7,57
Suvidha Vegetarian,Daryaganj,77.2398417,28.643740500000003,North Indian,350,No,No,3.6,88
Anupam Jalpan,Daryaganj,77.24361359999999,28.6450853,North Indian,200,No,No,0.0,0
Aunty's Kitchen,Daryaganj,77.24204959999999,28.644812199999997,North Indian,100,No,No,0.0,0
Cafe Coffee Day,Daryaganj,0.0,0.0,Cafe,450,No,No,0.0,0
Delhi 6 Foods,Daryaganj,0.0,0.0,North Indian,300,No,No,0.0,0
Fry Centre,Daryaganj,77.2404428,28.648229200000003,North Indian,200,No,No,0.0,0
Hilal Hotel Nihari,Daryaganj,0.0,0.0,Mughlai,400,No,No,0.0,0
Iqbal's Mughal Cuisine,Daryaganj,77.24141329999999,28.6444725,"North Indian, Mughlai",500,No,No,0.0,0
Kake Di Hatti Punjabi Khana,Daryaganj,77.2357696,28.6413413,North Indian,200,No,No,0.0,1
Kaushal Dhaba,Daryaganj,77.2357105,28.6410173,North Indian,150,No,No,0.0,0
Khan Foods,Daryaganj,77.24033283,28.6439042,Mughlai,400,No,No,0.0,0
Kumar Sweet House,Daryaganj,77.2444219,28.645251899999998,"Mithai, Street Food",150,No,No,0.0,1
Negi Restaurant,Daryaganj,77.2400213,28.641159299999998,North Indian,150,No,No,0.0,0
Old Delhi Food Factory,Daryaganj,77.243883,28.644931800000002,Mughlai,500,No,No,0.0,3
Parantha Point,Daryaganj,77.2420857,28.6448275,North Indian,100,No,No,0.0,1
R.P.W Pizza,Daryaganj,77.2419072,28.644762,Pizza,300,No,No,0.0,3
Rajdhani Restaurant,Daryaganj,77.2402908,28.6451272,North Indian,400,No,No,0.0,0
Roll's World,Daryaganj,77.23581329999999,28.641303399999998,Fast Food,200,No,No,0.0,0
Shree Krishna Dhaba,Daryaganj,77.24009609999999,28.6477718,"North Indian, South Indian",100,No,No,0.0,0
Taj Chicken Point,Daryaganj,0.0,0.0,"North Indian, Mughlai",400,No,No,0.0,0
Domino's Pizza,Daryaganj,77.24021409999999,28.644055600000005,"Pizza, Fast Food",700,No,No,2.3,32
Delhi 6 - Royal Cuisine Of The Walled City,Daryaganj,77.2400213,28.6480581,Mughlai,500,No,No,4.1,271
Food Hub,"DDA Market, Kalu Sarai, Hauz Khas",77.20389109999999,28.5419032,"Bakery, Fast Food",150,No,No,3.0,4
RR China Tawun,"DDA Market, Kalu Sarai, Hauz Khas",77.204111,28.5417882,Chinese,250,No,No,0.0,1
Aka Saka,Defence Colony,77.2304115,28.5730331,"Chinese, Japanese",1200,Yes,No,3.3,176
Anil Mishtan Wala,Defence Colony,77.2298726,28.5732507,"Mithai, Street Food",100,No,No,3.1,10
Barista,Defence Colony,77.230142,28.5735453,Cafe,650,No,Yes,3.3,73
Cafe 1 Fast Food,Defence Colony,77.22960309999999,28.573494,"Fast Food, Street Food",200,No,No,3.0,12
Cake Central - Premier Cake Design Studio,Defence Colony,0.0,0.0,"Bakery, Desserts",300,No,No,3.4,13
Chawla's Tandoori Junction,Defence Colony,77.23852559999999,28.57750982,"North Indian, Chinese, Mughlai",600,No,No,3.3,33
Chawnsan Chef,Defence Colony,77.2388538,28.578049199999995,"Mughlai, North Indian, Chinese",700,No,Yes,3.4,104
Choco Kraft,Defence Colony,77.238315,28.5774602,"Bakery, Desserts",300,No,Yes,3.2,12
Colonel's Kababz,Defence Colony,77.2305911,28.574036199999995,"North Indian, Mughlai",900,Yes,No,3.2,600
Confectionately Seerat's,Defence Colony,77.23181509999999,28.5765207,"Bakery, Desserts",600,No,No,3.2,13
Country Curries,Defence Colony,77.23840289,28.57825443,"North Indian, Bengali",700,No,Yes,2.7,8
Domino's Pizza,Defence Colony,77.23306099999999,28.566159399999997,"Pizza, Fast Food",700,No,No,2.5,78
Duggal's Rasoi,Defence Colony,77.2384946,28.578015100000002,"North Indian, Mughlai",600,No,No,3.4,35
Firefly India,Defence Colony,77.234004,28.572837300000003,"Bakery, Desserts",500,No,No,3.4,16
Fluffles - The Fluffy Waffle Co.,Defence Colony,77.230527,28.573371,Desserts,300,No,Yes,2.5,7
Giani's,Defence Colony,77.2305911,28.5734984,"Ice Cream, Desserts",400,No,Yes,2.8,26
Giani,Defence Colony,77.2298726,28.574415899999998,"Ice Cream, Desserts",400,No,Yes,3.3,29
Green Chick Chop,Defence Colony,77.238315,28.5773705,"Raw Meats, North Indian, Fast Food",350,No,No,2.7,16
Gulshan Fish & Chicken Fry,Defence Colony,77.2239446,28.5701766,North Indian,450,No,No,3.2,14
Kitchen22,Defence Colony,77.23050129999999,28.573131300000004,Fast Food,500,No,No,3.1,9
La Chocoallure,Defence Colony,77.23718248,28.57345367,Desserts,250,No,No,2.9,7
Little Dragon,Defence Colony,77.2298726,28.574146999999996,"Fast Food, Chinese",300,No,No,2.9,102
Maddi Sweet Centre,Defence Colony,77.22690859999999,28.574850800000004,"Mithai, Street Food",150,No,No,3.2,22
Man Vs Food The Kitchen,Defence Colony,77.23834699999999,28.576813,"North Indian, Mughlai",600,No,Yes,3.1,9
MB's,Defence Colony,77.2302318,28.5735538,"Continental, Chinese, North Indian",1600,Yes,No,3.1,128
Moet's Sizzlers,Defence Colony,77.2304115,28.5731228,Continental,1600,No,No,3.0,496
Oberoi's,Defence Colony,77.23895844,28.57772917,"North Indian, Mughlai",450,No,No,3.2,8
Punjabee's Darbar,Defence Colony,77.2387472,28.578638,"North Indian, Chinese",550,No,Yes,3.3,19
Qureshi's Kabab Corner,Defence Colony,77.238764,28.5783096,"North Indian, Mughlai",600,No,No,3.4,35
Saleem's Restaurant,Defence Colony,77.2382701,28.5777696,"North Indian, Mughlai, Chinese",600,No,Yes,3.2,53
Suri Saab Restaurant,Defence Colony,77.2386742,28.578569899999998,"North Indian, Chinese, Mughlai",600,No,Yes,3.0,39
The Sweet Boutique,Defence Colony,77.23684,28.572495,Bakery,300,No,No,3.3,25
Tibb's Frankie,Defence Colony,77.2298726,28.573967800000002,Fast Food,300,No,No,3.2,28
Veg Ex,Defence Colony,77.2384048,28.5780065,North Indian,500,No,Yes,3.4,44
Zaaika Junction,Defence Colony,77.2283618,28.5735915,"North Indian, Mughlai, Chinese",500,No,Yes,2.6,56
28 Capri Italy,Defence Colony,77.2302768,28.5727962,Italian,1500,Yes,Yes,3.9,245
4S Chinese Restaurant,Defence Colony,77.2304115,28.5731228,"Chinese, Thai",700,No,No,3.5,215
Amici Cafe,Defence Colony,77.2302318,28.5735538,"Cafe, Italian",1200,Yes,Yes,3.6,386
Angels in my Kitchen,Defence Colony,77.2304115,28.5738398,"Bakery, Desserts, Fast Food",350,No,Yes,3.8,460
Arabian Delites,Defence Colony,77.23812209999998,28.5776478,"Lebanese, Arabian",600,No,Yes,3.6,146
Baskin Robbins,Defence Colony,77.2299624,28.574066,Ice Cream,300,No,No,3.7,55
Cafe Brown Sugar,Defence Colony,77.2303217,28.5737416,"Cafe, Italian, Chinese",1000,No,Yes,3.7,390
Chakhnaa Wala,Defence Colony,77.23854159999999,28.5783289,"Mughlai, Fast Food",400,No,Yes,3.5,15
Cocoberry,Defence Colony,77.2302318,28.5735538,Desserts,300,No,Yes,3.6,130
Concept,Defence Colony,77.2388538,28.578228499999998,"North Indian, Mughlai, Chinese",600,No,No,3.9,301
Deez Biryani & Kebabs,Defence Colony,77.2386742,28.577852899999996,"Biryani, North Indian, Mughlai",800,Yes,Yes,3.7,338
Def Col Social,Defence Colony,77.2304115,28.5729435,"Continental, American, Asian, North Indian",1600,Yes,Yes,3.9,798
Dí_ner Grill,Defence Colony,77.2304115,28.5731228,"Fast Food, Turkish",900,No,Yes,3.8,192
Hong Kong Express,Defence Colony,77.238764,28.578399199999996,"Chinese, Thai",700,No,Yes,3.8,196
Kent's Fast Food,Defence Colony,77.2302318,28.5736434,"Burger, Fast Food",500,No,Yes,3.7,766
Koyla Kebab,Defence Colony,77.2298726,28.573967800000002,"North Indian, Mughlai",700,No,Yes,3.6,42
Meraki Cafe & Bar,Defence Colony,77.2338693,28.566684499999997,"North Indian, Continental, Chinese, Italian",1400,Yes,Yes,3.6,139
Milk Patisserie,Defence Colony,77.23133,28.573539,"Bakery, Desserts",300,No,Yes,3.8,24
Moets Curry Leaf,Defence Colony,77.2304115,28.573212400000003,"North Indian, Mughlai, Kashmiri",1500,Yes,Yes,3.5,208
Moets Oh! Bao,Defence Colony,77.23057840000001,28.5731536,"Chinese, Japanese, Thai",1200,Yes,Yes,3.6,99
Moets Shack,Defence Colony,77.2304115,28.573212400000003,"Seafood, Continental, European",1800,Yes,Yes,3.7,601
Moets Stone,Defence Colony,77.2304115,28.573212400000003,Italian,2000,Yes,Yes,3.8,354
Moti Mahal Delux,Defence Colony,77.2301869,28.573594399999998,"North Indian, Mughlai, Chinese",1000,Yes,Yes,3.8,130
Nizam's Kathi Kabab,Defence Colony,77.234004,28.566742100000003,"North Indian, Fast Food",900,No,Yes,3.8,303
NYC.PIE,Defence Colony,77.23034670000001,28.5729411,"Italian, Pizza",900,Yes,Yes,3.8,306
Raro,Defence Colony,77.2303666,28.573252899999996,"Cafe, Bakery",800,No,No,3.7,304
Sagar Ratna,Defence Colony,77.2304115,28.5731228,"North Indian, Chinese",600,No,Yes,3.7,308
Subway,Defence Colony,77.23050129999999,28.5732209,"American, Fast Food, Salad, Healthy Food",500,No,Yes,3.6,84
Swagath,Defence Colony,77.230142,28.5735453,"North Indian, Chinese, South Indian, Seafood, Chettinad",1500,Yes,No,3.9,749
The Jugaad Cafe Bar,Defence Colony,77.2301869,28.573594399999998,"North Indian, Chinese, Continental",1800,Yes,No,3.8,238
Chicken Biryani Centre,Defence Colony,77.2258308,28.5732244,Biryani,200,No,No,0.0,2
Ekta Restaurant,Defence Colony,77.22825590000001,28.5750687,North Indian,200,No,No,0.0,2
Garam Masala,Defence Colony,77.2254202,28.5728608,North Indian,300,No,No,0.0,0
Gulati Food Corner,Defence Colony,77.2260104,28.573151899999996,Chinese,150,No,No,0.0,2
Kolkatta Kathi Roll,Defence Colony,77.22861520000001,28.574027299999997,"North Indian, Fast Food",150,No,No,0.0,0
Muradabadi Shahi Biryani & Chicken Corner,Defence Colony,77.22861520000001,28.5741169,Mughlai,400,No,No,0.0,0
Rara Dragon,Defence Colony,77.2272935,28.5729113,Chinese,500,No,No,0.0,0
Mehfil,Defence Colony,77.2284355,28.5740102,"North Indian, Mughlai",600,No,No,2.4,35
Bonne Bouche,Defence Colony,77.2300522,28.573447100000003,"Italian, French",1750,Yes,Yes,4.1,711
Cafe Yell,Defence Colony,77.2301869,28.573594399999998,"Cafe, Continental, Italian",1000,Yes,No,4.4,50
Defence Bakery,Defence Colony,77.2301021,28.5737979,"Bakery, Fast Food",400,No,Yes,4.1,561
Desi Vibes,Defence Colony,77.230142,28.573814199999997,"North Indian, Mughlai",1500,Yes,Yes,4.0,183
Ek Bar,Defence Colony,77.23797072,28.57481074,Modern Indian,1700,Yes,Yes,4.1,242
Hwealthcafe,Defence Colony,77.2290642,28.574518199999996,"Cafe, Healthy Food, Continental",800,Yes,Yes,4.1,223
Kathputli,Defence Colony,77.230456,28.573742600000003,Rajasthani,900,Yes,Yes,4.1,769
Kulfiano,Defence Colony,77.2306809,28.573417300000003,Ice Cream,200,No,Yes,4.0,169
Number 31,Defence Colony,77.2302318,28.5735538,"Continental, Asian, Sushi",1600,Yes,Yes,4.2,63
RoadRomeo,Defence Colony,77.2303666,28.573252899999996,"North Indian, Hyderabadi, Kashmiri, Chinese",1650,Yes,Yes,4.0,460
Sagar Ratna,Defence Colony,77.2303217,28.5733831,"South Indian, North Indian, Chinese",600,No,Yes,4.0,782
The Culinary Pitaara,Defence Colony,77.228705,28.5742151,"North Indian, Chinese",900,No,Yes,4.2,95
Whipped,Defence Colony,77.230142,28.5739038,"Bakery, Desserts",550,No,Yes,4.2,372
Milko's,Delhi Cantt.,77.13403689,28.59645787,"Street Food, Mithai",200,No,No,0.0,2
Mom's Bake,Delhi Cantt.,77.12170769,28.59346375,"Bakery, Fast Food",200,No,No,0.0,0
RV Restaurant,Delhi Cantt.,77.13754522,28.56050598,"North Indian, Chinese, South Indian",300,No,No,0.0,0
Turning Point Fast Food,Delhi Cantt.,77.13251498,28.59696187,"South Indian, Chinese, Continental",600,No,No,0.0,1
A Vaishno Bhojnalaya,Delhi University-GTB Nagar,77.2039877,28.695273600000004,North Indian,100,No,No,3.1,29
Aim Delhi Cafe,Delhi University-GTB Nagar,77.208764,28.701238099999998,Cafe,400,No,No,3.4,69
Apni Rasoi,Delhi University-GTB Nagar,77.2076173,28.698499199999997,"North Indian, Chinese",400,No,Yes,2.8,109
Blue Bull Cafe,Delhi University-GTB Nagar,77.20418240000001,28.695695100000002,"Cafe, North Indian, Chinese",800,No,No,2.8,15
Cafe Bethak,Delhi University-GTB Nagar,77.2043172,28.6949468,"Cafe, Continental, Chinese",600,No,No,3.4,76
Cafe Coffee Day,Delhi University-GTB Nagar,77.20638559999999,28.6984528,Cafe,450,No,No,3.4,46
Cafe Coffee Day,Delhi University-GTB Nagar,77.20418240000001,28.694709999999997,Cafe,450,No,No,3.2,87
Chakhlo Food Court,Delhi University-GTB Nagar,77.2058893,28.6986347,"North Indian, South Indian, Chinese, Street Food, Fast Food",300,No,No,2.6,45
Domino's Pizza,Delhi University-GTB Nagar,77.20582990000001,28.6985993,"Pizza, Fast Food",700,No,No,2.5,109
Frontier,Delhi University-GTB Nagar,77.2066978,28.701488300000005,"Bakery, Desserts",200,No,No,3.0,8
Good Foods,Delhi University-GTB Nagar,77.1968157,28.689616700000002,"North Indian, Fast Food, Chinese",300,No,No,3.3,35
Grain Bell Restaurant,Delhi University-GTB Nagar,77.2105606,28.7039175,"North Indian, Chinese",450,No,Yes,2.8,81
Green Chick Chop,Delhi University-GTB Nagar,77.2040261,28.694949400000002,"Raw Meats, North Indian, Fast Food",350,No,Yes,3.1,72
Grover's - The Baker Shop,Delhi University-GTB Nagar,77.204262,28.696920000000002,"Bakery, Fast Food",100,No,No,3.0,18
Hookups Cafe & Lounge,Delhi University-GTB Nagar,77.2045418,28.6970729,"Chinese, Continental, North Indian",850,Yes,No,3.3,113
Jai Hind Dairy,Delhi University-GTB Nagar,77.20418240000001,28.6958742,Mithai,100,No,No,2.8,5
Kaveri,Delhi University-GTB Nagar,77.2052412,28.694644099999998,North Indian,300,No,No,3.3,51
Khushboo Vaishno Dhaba,Delhi University-GTB Nagar,77.2045418,28.709968800000002,North Indian,150,No,No,2.9,5
Korea Restaurant,Delhi University-GTB Nagar,77.20880890000001,28.701287199999996,Korean,900,Yes,No,3.0,82
Kukkad Nukkad,Delhi University-GTB Nagar,77.20406559999999,28.695522600000004,North Indian,600,No,Yes,3.0,12
Metro Fast Food,Delhi University-GTB Nagar,77.2127619,28.6950637,"Chinese, Fast Food",350,No,Yes,2.6,26
Mughlai Flavours,Delhi University-GTB Nagar,77.2050359,28.6944781,Mughlai,300,No,Yes,3.2,17
Pitstop,Delhi University-GTB Nagar,77.20575459999999,28.7022489,"North Indian, Mughlai, Chinese",600,No,Yes,3.3,85
Pizza Hut,Delhi University-GTB Nagar,77.20422640000001,28.695304800000002,"Italian, Pizza, Fast Food",1000,No,Yes,3.4,143
Prince Snacks & Momo's Point,Delhi University-GTB Nagar,77.204991,28.6945186,Chinese,300,No,No,3.4,39
Qash Retro Bar,Delhi University-GTB Nagar,77.2043621,28.695801899999996,"Finger Food, North Indian, Italian",2000,Yes,No,2.7,81
Red Chillies,Delhi University-GTB Nagar,77.20418769999999,28.6961065,Fast Food,250,No,No,3.3,69
Samrat Bakers,Delhi University-GTB Nagar,77.20758959999999,28.698468300000002,"Bakery, Fast Food",200,No,No,2.6,16
Samrat Restaurant,Delhi University-GTB Nagar,77.2051324,28.6989923,"North Indian, Chinese, South Indian, Fast Food",700,No,No,3.4,173
Shammi Bhai Lassi Wala,Delhi University-GTB Nagar,77.2049573,28.6989525,"Chinese, Beverages",400,No,No,3.2,45
Shooters Lounge and Bar,Delhi University-GTB Nagar,77.2043172,28.694409399999998,"North Indian, Chinese",1100,No,No,2.7,50
Singh Ching,Delhi University-GTB Nagar,77.20418240000001,28.695695100000002,"North Indian, Chinese, Mughlai",600,No,Yes,3.4,427
Southy,Delhi University-GTB Nagar,77.2062475,28.698366399999998,South Indian,450,No,Yes,2.6,138
Take n Taste Shawarma Zone,Delhi University-GTB Nagar,77.20517535,28.69445928,Fast Food,100,No,No,3.0,14
The Night Owl,Delhi University-GTB Nagar,77.2048468,28.699188300000003,Chinese,450,No,Yes,2.8,51
Tilak's The Diners,Delhi University-GTB Nagar,77.2051338,28.698872899999998,"North Indian, Chinese, Fast Food",700,No,Yes,3.1,130
Spezia Bistro,Delhi University-GTB Nagar,77.20414129999999,28.694839,"Cafe, Continental, Chinese, Italian",900,Yes,Yes,4.6,1071
Cent Percent The Pastry Shop,Delhi University-GTB Nagar,77.2044468,28.6963995,"Bakery, Fast Food",250,No,Yes,3.6,258
For God's Cake,Delhi University-GTB Nagar,77.2042568,28.6951581,Bakery,250,No,Yes,3.9,533
Laxmi Ice Cream,Delhi University-GTB Nagar,77.2044507,28.696885899999998,"Ice Cream, Desserts",150,No,No,3.7,93
Mirch Masala MM Cafe,Delhi University-GTB Nagar,77.20421,28.6959218,"North Indian, Chinese, Cafe",550,No,Yes,3.7,484
Moh Maya Cafe,Delhi University-GTB Nagar,77.204109,28.694703000000004,"North Indian, Continental, Chinese, Italian, Lebanese",1000,Yes,No,3.7,49
QD's Restaurant,Delhi University-GTB Nagar,77.2042559,28.6951592,"Chinese, North Indian, Fast Food, Italian",800,No,Yes,3.9,2724
SuperHero Cafe,Delhi University-GTB Nagar,77.207686,28.6959407,"Cafe, Chinese, Italian",550,No,Yes,3.8,541
Suresh Fast Food,Delhi University-GTB Nagar,77.2052605,28.6947235,"North Indian, Chinese",250,No,No,3.7,91
Wood Box Cafe,Delhi University-GTB Nagar,77.20479859999999,28.6943941,"Cafe, Fast Food, Italian, Chinese",650,Yes,Yes,3.8,1970
Best Biryani,Delhi University-GTB Nagar,77.2076069,28.698459999999997,Mughlai,400,No,No,0.0,0
Derawal Soda Fountain,Delhi University-GTB Nagar,77.2049915,28.7004311,Beverages,100,No,No,0.0,1
Eat & Gulp,Delhi University-GTB Nagar,77.2112792,28.7045236,"Fast Food, Italian",300,No,No,0.0,1
L.N Live Kitchen,Delhi University-GTB Nagar,77.2050973,28.697983899999997,"Chinese, Fast Food",300,No,No,0.0,0
Papa Buns,Delhi University-GTB Nagar,77.2039851,28.694377600000003,Cafe,250,No,No,0.0,1
Preet Fast Foods,Delhi University-GTB Nagar,77.2052605,28.7014404,Street Food,50,No,No,0.0,0
Sikkim Chinese Food,Delhi University-GTB Nagar,77.2132353,28.696064500000002,Chinese,350,No,No,0.0,2
Tawa King,Delhi University-GTB Nagar,77.20274509999999,28.694930699999997,North Indian,350,No,No,0.0,0
The Pork Shop,Delhi University-GTB Nagar,77.20346611,28.68074736,Chinese,400,No,Yes,0.0,3
TiffinToons,Delhi University-GTB Nagar,77.19461525,28.69248552,"North Indian, South Indian",200,No,No,0.0,0
Vaishno Rasoi,Delhi University-GTB Nagar,77.2045418,28.710327000000003,North Indian,350,No,No,0.0,3
Sagar Ratna,Delhi University-GTB Nagar,77.2077758,28.6979196,"South Indian, North Indian, Chinese",600,No,Yes,2.4,147
Slice of Italy,Delhi University-GTB Nagar,77.2040764,28.6955728,"Italian, Pizza, Bakery",700,No,Yes,2.4,148
Bakar The Cafe,Delhi University-GTB Nagar,77.20314990000001,28.695130600000002,Cafe,400,No,No,4.1,111
Indus Flavour,Delhi University-GTB Nagar,77.2029696,28.6956238,"North Indian, Chinese, Cafe",700,Yes,Yes,4.1,1384
Raw Creams,Delhi University-GTB Nagar,77.2043172,28.6958424,"Ice Cream, Desserts, Beverages",250,No,Yes,4.3,156
Ricos,Delhi University-GTB Nagar,77.2041921,28.6948159,"Cafe, Mexican, American, Italian, Lebanese, Continental",900,No,No,4.3,4085
The Hudson Cafe,Delhi University-GTB Nagar,77.2043172,28.6949468,"Cafe, Italian, Continental, Chinese",850,No,Yes,4.4,1537
YOLO 21,Delhi University-GTB Nagar,77.2042723,28.6950768,"Cafe, Italian, Continental",700,Yes,No,4.2,1526
Assam Food Stall,"Dilli Haat, INA",77.2063385,28.5730696,"Assamese, Chinese",400,No,No,2.8,45
Darbar E Awadh,"Dilli Haat, INA",77.20696729999999,28.573308899999997,"North Indian, Mughlai",750,No,No,3.2,26
Hotel Tamil Nadu,"Dilli Haat, INA",77.2063385,28.572979999999998,South Indian,350,No,No,3.1,13
Incrivel Goa,"Dilli Haat, INA",77.20622929999999,28.5731135,Goan,700,No,Yes,2.5,29
Lakshadweep,"Dilli Haat, INA",77.20719190000001,28.5733751,"North Indian, Chinese, South Indian",200,No,No,2.8,11
Odisha,"Dilli Haat, INA",77.2067876,28.5736502,Oriya,450,No,No,3.1,52
Rajasthan Food Stall No. 1,"Dilli Haat, INA",77.2065181,28.573355699999997,"Rajasthani, North Indian",400,No,No,3.4,69
Shillong View,"Dilli Haat, INA",77.207032,28.573381,Chinese,350,No,No,3.0,36
Wazwan,"Dilli Haat, INA",77.2070571,28.5734071,Kashmiri,700,No,No,3.1,44
Zayaka,"Dilli Haat, INA",77.2072657,28.573313899999995,"Chinese, North Indian, Fast Food",450,No,No,2.8,8
Bihar ki Rasoi,"Dilli Haat, INA",77.2065181,28.573355699999997,Bihari,500,No,No,3.5,28
Bijoli Grill,"Dilli Haat, INA",77.2063385,28.572979999999998,"Bengali, North Indian, Chinese",800,No,No,3.7,182
Maharashtra Food Stall,"Dilli Haat, INA",77.2062936,28.573110200000002,Maharashtrian,350,No,No,3.6,93
Manipur Food Stall,"Dilli Haat, INA",77.2065181,28.573355699999997,"Chinese, Fast Food",450,No,No,3.6,72
Momo Mia,"Dilli Haat, INA",77.20696729999999,28.573308899999997,Chinese,400,No,No,3.8,152
Mother Dairy Ice Cream,"Dilli Haat, INA",77.2063385,28.5730696,"Desserts, Ice Cream, North Indian",250,No,No,3.5,19
Nagaland,"Dilli Haat, INA",77.20624570000001,28.573123,"Chinese, Naga",800,Yes,No,3.7,143
Navdanya Organic Food Cafe,"Dilli Haat, INA",77.20626709999999,28.5731173,North Indian,450,No,No,3.5,24
Tashi Delek Food Stall,"Dilli Haat, INA",77.20665290000001,28.573323699999996,"Chinese, Tibetan",400,No,No,3.5,30
Punjabi Rasoi,"Dilli Haat, INA",77.2062599,28.573126600000002,North Indian,700,No,No,2.3,30
Aggarwal Bikaner Sweets,Dilshad Garden,77.3263341,28.6840941,"Mithai, Street Food",350,No,No,3.0,9
Angels Kitchen,Dilshad Garden,77.32792842,28.69405251,"North Indian, Mughlai, Chinese",500,No,No,3.2,10
Bedi's Kabab Corner,Dilshad Garden,77.3153088,28.6793527,"Mughlai, North Indian",500,No,No,3.2,15
Bravo Diet Food and Nutrition,Dilshad Garden,77.3228257,28.6880418,Healthy Food,300,No,No,3.0,7
Chacha Chicken,Dilshad Garden,77.32436109999999,28.6866525,North Indian,600,No,No,2.8,9
Chao Cart,Dilshad Garden,77.3133238,28.681270899999998,"Chinese, Fast Food",350,No,No,3.3,32
Chimney,Dilshad Garden,77.31063947,28.68787472,North Indian,400,No,No,2.9,4
